codigo,produto,unidade_medida,estoque_minimo,validade_dias
OLE-040,OLEO DE KARITE 50ML,un,10,
OUT-009,PROPZINCO GENGIBRE 30ML,un,10,
OUT-010,PROPZINCO MEL 30ML,un,10,
OUT-011,PROPZINCO MENTA 30ML,un,10,
OUT-012,PROPZINCO ROMÃ 30ML,un,10,
OUT-013,PROPZINCO COMERCIAL 100ML,un,10,
OUT-014,THEOGORICO B6 30ML,un,10,
OUT-015,TINTURA DE ARNICA 30ML,un,10,
OUT-016,XAROPVITAN IMUNO 100ML,un,10,
OUT-017,CACHIMBO LUXO 505,un,10,
OUT-018,CACHIMBO LUXO 9500,un,10,
OUT-019,CACHIMBO BRANCO,un,10,
OUT-020,CACHIMBO MOD 144,un,10,
TEM-033,CREME DE CEBOLA,g,1000,
GRA-041,ANIS ESTRELADO,g,1000,
ERV-028,FLOR DE HIBISCO,g,1000,
CAS-009,CASCA DE CANELA,g,1000,
TEM-034,AJINOMOTO,g,1000,
MIX-003,MIX DE SEMENTES 150G,un,10,
GRA-042,SEMENTE DE ABOBORA 130G,un,10,
PO-040,FARINHA DE LINHAÇA 180G,un,10,
GRA-043,LINHAÇA DOURADA 120G,un,10,
PO-041,FIBRA DE MAÇA,g,1000,
TEM-035,ALHO PORÓ,g,1000,
